unix_timestamp,tof1
1790157996.3074088,1280,0,0,0
1790157996.5054405,1210,0,0,0
1790157996.742157,1150,0,0,0
1790157996.9372613,1083,0,0,0
1790157997.1480896,1019,0,0,0
1790157997.3897808,947,0,0,0
1790157997.5188146,884,0,0,0
1790157997.8270562,828,0,0,0
1790157998.038681,821,0,0,0
1790157998.2561982,820,0,0,0
1790157998.444813,820,0,0,0
1790157998.5718482,820,0,0,0
1790157998.8188565,819,0,0,0
1790157999.0706422,832,0,0,0
1790157999.2769234,218,0,0,0
1790157999.4785845,112,0,0,0
1790157999.6567273,110,0,0,0
1790157999.880462,111,0,0,0
1790158000.081849,214,0,0,0
1790158000.3013268,893,0,0,0
1790158000.481899,879,0,0,0
1790158000.708623,876,0,0,0
1790158000.908742,244,0,0,0
1790158001.1157548,114,0,0,0
1790158001.3263807,155,0,0,0
1790158001.5380406,544,0,0,0
1790158001.7346876,851,0,0,0
1790158001.928083,1255,0,0,0
1790158002.1394317,2119,0,0,0
1790158002.318169,2116,0,0,0
1790158002.5301576,2057,0,0,0
1790158002.756479,1929,0,0,0
1790158002.9591923,819,0,0,0
1790158003.163336,820,0,0,0
1790158003.3590515,821,0,0,0
1790158003.5410051,820,0,0,0
1790158003.6593626,822,0,0,0
1790158003.8630397,814,0,0,0
1790158004.0887566,744,0,0,0
1790158004.3121815,677,0,0,0
1790158004.4925,632,0,0,0
1790158004.6924126,538,0,0,0
1790158004.9207966,476,0,0,0
1790158005.1322656,407,0,0,0
1790158005.3272262,327,0,0,0
1790158005.5538235,236,0,0,0
1790158005.7142894,170,0,0,0
1790158006.01312,112,0,0,0
1790158006.2327728,103,0,0,0
1790158006.434731,104,0,0,0
1790158006.568615,104,0,0,0
1790158006.7620566,104,0,0,0
1790158006.92401,105,0,0,0
1790158007.2625291,158,0,0,0
1790158007.4701781,86,0,0,0
1790158007.580854,86,0,0,0
1790158007.8774364,86,0,0,0
1790158008.0830941,170,0,0,0
1790158008.275305,858,0,0,0
1790158008.470169,1535,0,0,0
1790158008.5892,1541,0,0,0
1790158008.901413,305,0,0,0
1790158008.9730983,108,0,0,0
1790158009.264074,106,0,0,0
1790158009.508154,166,0,0,0
1790158009.5893695,104,0,0,0
1790158009.913465,177,0,0,0
1790158010.1243794,1115,0,0,0
1790158010.302623,935,0,0,0
1790158010.5399516,927,0,0,0
1790158010.594379,586,0,0,0
1790158010.937788,130,0,0,0
1790158011.0915844,108,0,0,0
1790158011.3572743,106,0,0,0
1790158011.3894885,103,0,0,0
1790158011.608993,103,0,0,0
